"","Room_2017","p_whi","p_bla","p_asi","p_lat","total_num","id","pval"
"1","Agard",0.761904761904762,0.0476190476190476,0.0952380952380952,0.0952380952380952,21,214111686,0.279181266967043
"2","Mission",0.494880546075085,0.10580204778157,0.238907849829352,0.160409556313993,293,214110776,0.0928361335537436
"3","Brooks",0.842105263157895,0.105263157894737,0,0.0526315789473684,19,214111379,0.0522733251522187
"4","Bryant",0.563636363636364,0.0545454545454545,0.345454545454545,0.0363636363636364,55,214111531,0.0397243609089852
"5","Carter",0.603174603174603,0.126984126984127,0.142857142857143,0.126984126984127,63,214111537,0.500451234138954
"6","Chadbourne",0.833333333333333,0,0.0833333333333333,0.0833333333333333,12,214111430,0.254791243301499
"7","Currier",0.627118644067797,0,0.271186440677966,0.101694915254237,59,214110454,0.058471062185181
"8","Dodd",0.382978723404255,0.0638297872340425,0.382978723404255,0.170212765957447,47,214110450,0.0202461907472938
"9","Doughty",0.444444444444444,0.111111111111111,0.333333333333333,0.111111111111111,9,214111268,0.866923220779175
"10","East",0.526315789473684,0.105263157894737,0.263157894736842,0.105263157894737,38,214110540,0.932846221454137
"11","Fayerweather",0.622222222222222,0.111111111111111,0.133333333333333,0.133333333333333,45,214110555,0.569338773505596
"12","Fitch",0.685714285714286,0.0571428571428571,0.171428571428571,0.0857142857142857,35,214110473,0.473391330436517
"13","Garfield",0.666666666666667,0.125,0.0416666666666667,0.166666666666667,24,214111754,0.206171062255642
"14","Gladden",0.6125,0.05,0.2,0.1375,80,214111432,0.388185650450442
"15","Goodrich",0.416666666666667,0.0833333333333333,0.25,0.25,12,214110526,0.531035095768598
"16","Horn",0.375,0.285714285714286,0.214285714285714,0.125,56,214111485,8.74882159526698e-05
"17","Hubbell",0.545454545454545,0.0454545454545455,0.272727272727273,0.136363636363636,22,214110490,0.793472666497518
"18","Lambert",0.857142857142857,0,0.142857142857143,0,7,214111373,0.407671208376812
"19","Lehman",0.185185185185185,0.148148148148148,0.407407407407407,0.259259259259259,27,214110694,0.00123189903343082
"20","Mark Hopkins",0.602739726027397,0.136986301369863,0.164383561643836,0.0958904109589041,73,214111593,0.47484177450945
"21","Milham",0.625,0.125,0.125,0.125,8,214111395,0.93173240363576
"22","Morgan",0.459770114942529,0.126436781609195,0.32183908045977,0.0919540229885057,87,214110800,0.0907240023639262
"23","Parsons",0.545454545454545,0,0.363636363636364,0.0909090909090909,11,214110533,0.526458094246402
"24","Perry",0.55,0.25,0.1,0.1,20,214111577,0.134765801139431
"25","Poker Flats",0.823529411764706,0.0588235294117647,0.117647058823529,0,34,214110525,0.0131665693286679
"26","Prospect",0.572916666666667,0.0208333333333333,0.3125,0.09375,96,214110511,0.01442293715428
"27","Sage",0.65034965034965,0.111888111888112,0.111888111888112,0.125874125874126,143,214111011,0.0174069851913908
"28","Sewall",0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909,11,214110510,0.96047872001217
"29","Spencer",0.714285714285714,0.0476190476190476,0.238095238095238,0,21,214111362,0.248573083478007
"30","Susan Hopkins",0.444444444444444,0.111111111111111,0.222222222222222,0.222222222222222,9,214111342,0.803016953882659
"31","Thompson",0.478260869565217,0.130434782608696,0.304347826086957,0.0869565217391304,23,214110722,0.718197634512118
"32","Tyler",0.6,0.2,0.16,0.04,25,214111107,0.25013553866214
"33","Tyler Annex",0.542857142857143,0.171428571428571,0.171428571428571,0.114285714285714,35,214111107,0.575355192383291
"34","West",0.475,0.1,0.35,0.075,40,214111042,0.2445559977377
"35","Williams",0.533333333333333,0.106666666666667,0.24,0.12,150,214110967,0.94009976125511
"36","Wood",0.739130434782609,0,0.130434782608696,0.130434782608696,23,214111672,0.200351263467382
"37","Woodbridge",0.769230769230769,0.0769230769230769,0.153846153846154,0,13,214111228,0.395512048689705
